"code_muni";"RENDA_MEDIA";"NOTA_MEDIA";"RAZAO_MEDIA";"Nome_Município";"ANO"
1502806;0,023027378019475;462,465;9177,98803759851;"Curralinho";2024
1502905;0,0310409709646693;469,456548135299;7033,8182521355;"Curuçá";2024
1502939;0,0377311021732294;495,088303130148;6465,97340332259;"Dom Eliseu";2024
1502954;0,0279228306469419;474,077902097902;7984,78868124067;"Eldorado do Carajás";2024
1503044;0,0380900167084378;470,663448275862;5763,80551251448;"Floresta do Araguaia";2024
1503093;0,0381539559731049;488,381238938053;6218,52263773908;"Goianésia do Pará";2024
1503200;0,0295886268774944;482,160053715309;7808,4074219423;"Igarapé-Açu";2024
1503309;0,0217540949851309;467,312131893121;9937,99705484831;"Igarapé-Miri";2024
1503606;0,0354344566965632;507,948137142857;7247,97728217367;"Itaituba";2024
1503705;0,0345235684391213;474,717188049209;6476,6534329584;"Itupiranga";2024
1503804;0,0365744072608052;485,046568181818;6395,90866131423;"Jacundá";2024
1503903;0,0277485227070862;475,061040358744;8070,37703313682;"Juruti";2024
1504000;0,0218499101598926;469,135067484663;9977,84731787354;"Limoeiro do Ajuru";2024
1504059;0,0357545908536825;485,991441969519;6568,98698493508;"Mãe do Rio";2024
1504208;0,0544118622953491;517,455770074594;4894,81077910762;"Marabá";2024
1504307;0,0263567668263801;474,21328320802;8464,3645663219;"Maracanã";2024
1504422;0,0443854474967693;503,897501020825;5695,05356545574;"Marituba";2024
1504505;0,0297573582701971;455,433760330579;6865,99121049012;"Melgaço";2024
1504604;0,0244001357019492;468,319943060498;8901,58750400505;"Mocajuba";2024
1504703;0,0334708084708085;469,501844734819;6524,54645442105;"Moju";2024
1504802;0,0249824769871369;483,296895578551;9293,5898909502;"Monte Alegre";2024
1504901;0,0226822628709909;466,007936962751;9473,83152135046;"Muaná";2024
1505031;0,0540878731465151;511,201;4808,49005276069;"Novo Progresso";2024
1505064;0,0302199897737655;481,726180555556;7630,91524126685;"Novo Repartimento";2024
1505106;0,0293530686260657;472,207256792287;7531,99808881178;"Óbidos";2024
1505205;0,0374019012176907;473,146059654631;5936,22389306817;"Oeiras do Pará";2024
1505304;0,0278492235650587;486,058135048232;8436,07486935467;"Oriximiná";2024
1505403;0,0179684543289031;482,085040983607;12853,9181365249;"Ourém";2024
1505486;0,0315962719698352;474,625272727273;7073,78620302586;"Pacajá";2024
1505502;0,0442997488159547;515,0173370319;5957,08427441143;"Paragominas";2024
1505536;0,0507399478686114;523,363977823978;5365,47610432987;"Parauapebas";2024
1505700;0,0222316589237321;458,176480836237;9313,58660847419;"Ponta de Pedras";2024
1505809;0,0340498977351753;465,009911504425;6281,66090741193;"Portel";2024
1505908;0,0274128177114728;451,347785888078;7304,16653973804;"Porto de Moz";2024
1506005;0,0222835120086429;445,699832869081;8732,00924493459;"Prainha";2024
1506138;0,0521201585881818;506,050753512133;4891,21216085359;"Redenção";2024
1506187;0,0419285797564916;500,317050561798;5943,36970174182;"Rondon do Pará";2024
1506195;0,0420694401957785;500,480438871473;5927,35338789927;"Rurópolis";2024
1506203;0,033545689538056;489,834678760393;7116,10588566328;"Salinópolis";2024
1506302;0,029235015227021;472,186343042071;7561,69755087886;"Salvaterra";2024
1506500;0,0281654736588947;503,542315394243;8962,11860135103;"Santa Izabel do Pará";2024
1506708;0,0574835613532718;479,940722021661;3980,62883778924;"Santana do Araguaia";2024
1506807;0,039996623959671;514,161387611312;6576,58976108933;"Santarém";2024
1507201;0,0182841157664479;457,556207513417;11290,4670999861;"São Domingos do Capim";2024
1507300;0,0505543633762518;487,260648148148;4671,02406948866;"São Félix do Xingu";2024
1507458;0,0295554364729122;478,079889502762;7679,12494578698;"São Geraldo do Araguaia";2024
1507607;0,0316077339428988;482,521920849421;7321,05380497893;"São Miguel do Guamá";2024
1507706;0,0238586123762933;465,957944377267;9004,62864264216;"São Sebastião da Boa Vista";2024
1507904;0,0310820883092656;490,438187134503;7699,55302723857;"Soure";2024
1507953;0,0417546360937377;497,985625692137;5912,29259280173;"Tailândia";2024
1508001;0,0380155130729403;482,13456943367;6076,84996886461;"Tomé-Açu";2024
1508084;0,0456708154960097;513,030903426791;5734,75425350516;"Tucumã";2024
1508100;0,0389931803136197;503,82305738476;6480,69881328698;"Tucuruí";2024
1508159;0,0418796028171028;482,780383877159;5531,58025134264;"Uruará";2024
1508209;0,0277339372597415;478,787845373891;8208,99835611775;"Vigia";2024
1508308;0,0267550927918753;455,711428571429;7646,82186538918;"Viseu";2024
1508407;0,046086283553561;490,144405850091;5186,45435083303;"Xinguara";2024
1600105;0,0352504382076947;459,685130434783;5916,66773632493;"Amapá";2024
1600279;0,0395477579514976;487,746285119667;5983,30467709122;"Laranjal do Jari";2024
1600303;0,0435571381058118;514,68316804606;6050,9753282182;"Macapá";2024
1600402;0,0182027655985989;470,659634146341;12060,7845526088;"Mazagão";2024
1600501;0,0641131897203326;464,933051146384;3334,93080096398;"Oiapoque";2024
1600535;0,0345729287650019;481,316470588235;6658,28666564293;"Porto Grande";2024
1600600;0,0349709498531773;508,956013110846;7372,86273874029;"Santana";2024
1600709;0,0324271627843056;454,488194444444;6271,53833337748;"Tartarugalzinho";2024
1701002;0,0265151515151515;491,036199095023;9048,26808015514;"Ananás";2024
1702109;0,0485506557968752;525,128502269289;5643,76521329965;"Araguaína";2024
1702158;0,0250548245614035;466,179223300971;8583,54536763613;"Araguanã";2024
1702208;0,0257678556763923;489,141670644391;9237,15475721404;"Araguatins";2024
1702307;0,0372065727699531;472,28375;5944,211829653;"Arapoema";2024
1702406;0,0472335832765281;479,901216216216;4843,61338577303;"Arraias";2024
1702554;0,0295994054730614;504,189239280775;8549,80818824535;"Augustinópolis";2024
1703701;0,0301406926406926;477,3853125;7506,97122980251;"Brejinho de Nazaré";2024
1705508;0,0439736164736165;511,821607378129;5928,59146653417;"Colinas do Tocantins";2024
1706100;0,0349796058774387;495,952522522523;6999,29334196518;"Cristalândia";2024
1707009;0,0341764716764717;483,614385964912;6802,76150697469;"Dianópolis";2024
1707405;0,0133550642479214;478,635247524752;17035,8781733426;"Esperantina";2024
1708205;0,0278005184881976;504,902629482072;9128,70130784836;"Formoso do Araguaia";2024
1709302;0,0489258748801534;494,924009111617;4983,13029064536;"Guaraí";2024
1709500;0,044734364767518;537,428288159772;6400,18673893549;"Gurupi";2024
1710508;0,0325032552083333;473,435279503106;6839,7850639313;"Itacajá";2024
1713205;0,0446302728279472;494,515269565217;5453,59134378414;"Miracema do Tocantins";2024
1714203;0,0335564593571711;469,184842105263;6498,44609004204;"Natividade";2024
1715101;0,0245864616544962;457,19124600639;8381,49258328536;"Novo Acordo";2024
1715754;0,0347555289102052;486,439527027027;6770,70769473834;"Palmeirópolis";2024
1716109;0,0379798080215617;520,974265306122;7105,20351111102;"Paraíso do Tocantins";2024
1716505;0,0408714718053239;479,2025625;5580,48321788818;"Pedro Afonso";2024
1716604;0,0439324116743472;477,37298245614;5150,02418108208;"Peixe";2024
1718204;0,0410331216931217;502,523797881011;6126,85039566836;"Porto Nacional";2024
1718865;0,0273987738808098;467,990569105691;7915,33847642678;"Santa Fé do Araguaia";2024
1720804;0,0295179547228728;492,142116402116;8165,27156657484;"Sítio Novo do Tocantins";2024
1720903;0,0306447410614077;478,175155279503;7409,26982624903;"Taguatinga";2024
1721000;0,0585605253941556;545,617277152419;5028,93843882436;"Palmas";2024
1721208;0,0372237484737485;493,627676767677;6514,86448063397;"Tocantinópolis";2024
1722081;0,0491168689698101;485,530714285714;4772,50930693069;"Wanderlândia";2024
1722107;0,0427176728431959;510,264662576687;6066,45084641974;"Xambioá";2024
2100055;0,0387800602949302;512,234571575167;6733,21726653692;"Açailândia";2024
2100204;0,0432587815000214;479,700766283525;5284,03155052835;"Alcântara";2024
2100600;0,0223381776953206;482,810520231214;10371,9526002226;"Amarante do Maranhão";2024
2100709;0,0220074876565879;494,215607843137;11046,040858297;"Anajatuba";2024
2100907;0,0179132160110421;477,70953125;12649,2937454852;"Araioses";2024
2100956;0,0196452703956992;479,728632075472;11636,8279728804;"Arame";2024
2101004;0,0246583036884479;500,058090646095;10095,5075333393;"Arari";2024
2101202;0,0266528239202658;503,148575268817;9455,98020017625;"Bacabal";2024
2101301;0,0240159938764;474,91511002445;9318,58623783082;"Bacuri";2024
2101400;0,0329851058070287;508,112195969423;7791,1587573159;"Balsas";2024
2101509;0,0387895201724989;490,032106430155;6159,19210569508;"Barão de Grajaú";2024
