"CO_MUNICIPIO_PROVA";"SG_UF_PROVA";"MEDIA_CN";"MEDIA_CH";"MEDIA_LC";"MEDIA_MT";"MEDIA_REDACAO";"MEDIA_GERAL"
1500503;"PA";452,145659163987;451,413157894737;467,440406976744;452,289710610933;571,724137931035;473,382872238232
1500602;"PA";467,094512353706;477,805910619894;494,432310642378;481,142678803641;613,251437532671;503,516061365807
1500701;"PA";440,432439678284;435,298800959233;460,471462829736;444,268096514745;543,919308357349;460,354582338902
1500800;"PA";479,914485263305;497,577048636454;510,799244783041;495,38093874415;644,729405115162;523,107249747108
1500909;"PA";446,038043478261;453,101339285714;469,81646884273;457,224534161491;595,186991869919;481,039732055064
1500958;"PA";449,115540540541;454,819749216301;472,1990625;466,86722972973;615,358361774744;487,765327102804
1501204;"PA";451,636894586895;444,918453188602;461,959891598916;459,376353276353;585,731166912851;477,67586269196
1501303;"PA";472,561879091259;482,814130827611;499,108086642599;480,690065460146;623,812451960031;509,32370990991
1501402;"PA";486,740252856584;507,198500674904;516,705755559701;507,832453453258;662,626798382285;533,291528574573
1501501;"PA";467,783687150838;481,026332622601;495,345822245875;482,50782122905;613,921007441328;505,510367037233
1501709;"PA";461,190260133091;466,106992009132;482,407749287749;473,178124054463;614,808590102708;496,614657961964
1501782;"PA";453,30108892922;461,960991735537;482,419801980198;460,813430127042;571,4440433213;483,09024863388
1501808;"PA";448,728562300319;456,578547755348;474,056404088996;455,056709265176;569,896574014221;478,946534811707
1501907;"PA";438,512893553223;444,682651622003;460,529113924051;449,931034482759;544,472440944882;464,997836380684
1502103;"PA";456,743471043895;462,09325044405;474,366306274371;469,903966057923;623,872567722243;494,311555339577
1502152;"PA";480,640301318267;489,346772767462;507,412059859155;496,85329566855;671,717734447539;526,717828238719
1502202;"PA";459,531001697793;465,030035335689;486,435556268035;470,330991174474;611,856540084388;495,349868028948
1502301;"PA";457,575283018868;463,006486486486;486,697539015606;470,916163522013;615,070898041864;494,259581094527
1502400;"PA";479,598052738337;496,443066255778;510,087137089021;498,662913369852;671,908271908272;528,526973986228
1502707;"PA";463,892700087951;470,550249584027;488,909958506224;478,993491644679;610,554561717352;499,357007450331
1502756;"PA";449,082892416226;451,446755407654;477,317774086379;455,969542253521;604,739676840215;485,533248215266
1502806;"PA";442,129159802306;434,811402157165;458,577538461538;443,864415156507;595,774647887324;470,893266972945
1502905;"PA";446,204163052905;451,262664473684;471,273991769547;449,684128360798;575,384615384615;475,883389528509
1502939;"PA";456,089490968801;468,922480620155;491,797523219814;481,492282430213;607,8073089701;498,895781893004
1502954;"PA";449,248498845266;450,375929978118;472,167248908297;465,976674364896;564,655581947743;477,610526695527
1503044;"PA";452,889655172414;451,03144654088;476,310691823899;458,302068965517;556,737588652482;476,027033542977
1503093;"PA";459,836994219653;471,244919786096;489,748266666667;467,472173913043;580,057971014493;490,653664921466
1503200;"PA";453,154504906334;458,937638062872;474,88726655348;464,051071428571;603,062558356676;487,698709495633
1503309;"PA";441,880930760499;442,288102893891;464,560299625468;453,23541430193;580,942720763723;473,018291488604
1503606;"PA";463,440125213432;473,198887711864;493,182116402116;485,639157655094;648,864926220204;509,709354583772
1503705;"PA";444,958318739054;453,802283849918;475,885179153094;458,718388791594;584,144144144144;480,990081168831
1503804;"PA";455,06768707483;459,259291084855;479,75551982851;463,126077097506;597,875288683603;488,451837789661
1503903;"PA";448,475939177102;455,984945332212;469,547858942065;454,421109123435;582,666666666667;479,405131101813
1504000;"PA";444,255067155067;445,709360189573;463,539007092199;452,641391941392;580,077619663648;474,081012534273
1504059;"PA";454,709557109557;463,302888888889;480,226444444444;462,507692307692;599,951923076923;489,085434622468
1504208;"PA";472,390944824574;487,889909140969;501,821274550199;495,253697234352;650,078374455733;518,9330322081
1504307;"PA";448,614463840399;454,915550239234;474,680906921241;452,058354114713;575,440414507772;478,706939825812
1504422;"PA";469,989128664495;483,277262180975;498,44913361571;478,637296416938;633,431703204047;509,236853415196
1504505;"PA";440,377731958763;433,969481765835;456,560420650096;439,832231404959;550,811965811966;461,611040076336
1504604;"PA";444,710220014194;448,406824324324;462,869574036511;453,654468085106;581,729323308271;474,917396814715
1504703;"PA";447,225172678434;449,530403458213;472,675574712644;453,039140445127;562,679275019701;474,557959110473
1504802;"PA";448,987958607714;457,201765225066;478,764165931156;458,149106302916;627,050645481629;489,539816122389
1504901;"PA";447,358428571429;450,464043419267;466,920512820513;453,22660944206;547,769571639586;470,820985663082
1505031;"PA";475,786604361371;481,700872093023;502,897674418605;484,389408099688;630,490797546012;513,092531400966
1505064;"PA";458,438316151203;457,252605863192;481,074308943089;472,231615120275;576,056338028169;486,469013933548
1505106;"PA";448,342445414847;452,485176085176;469,36862745098;457,940436681223;569,160714285714;476,835489557906
1505205;"PA";445,701412872841;453,069653179191;470,117919075145;461,323861852433;556,754250386399;475,702579479769
1505304;"PA";460,030486831604;465,631466470155;483,602571638501;462,800638467678;592,299035369775;490,016173109652
1505403;"PA";451,909591836735;456,549438202247;475,232897196262;471,803469387755;588,477366255144;485,509891371819
1505486;"PA";454,479749103943;454,372881355932;474,753716216216;463,125448028674;577,001897533207;481,140867997781
1505502;"PA";471,550895728066;487,363110151188;501,873511647972;490,513183279743;643,591387998168;516,139533504786
1505536;"PA";482,713947065593;495,151253481894;512,078034682081;500,967088607595;645,426497277677;524,847421691882
1505700;"PA";445,303472222222;447,787006578947;466,040655737705;450,579513888889;541,466165413534;467,126996187364
1505809;"PA";444,803238469087;448,73402340234;469,513824057451;452,460805500982;546,21568627451;470,195211877052
1505908;"PA";436,399151515152;428,941124586549;456,486388583974;445,190677966102;541,460957178841;458,033114754098
1506005;"PA";437,819613259669;418,870100502513;444,502506265664;441,331767955801;541,203438395415;453,585518242123
